match_url,match_id,team1,team2,team1_score,team2_score,tournament,match_time
https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b,542204,MIBR,Rex Regum Qeon,2,0,Group Stage–Decider (B)Valorant Champions 2025,11:15 AM
https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a,542199,GIANTX,Xi Lai Gaming,2,0,Group Stage–Decider (A)Valorant Champions 2025,11:20 AM
https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d,542214,G2 Esports,Dragon Ranger Gaming,2,0,Group Stage–Elimination (D)Valorant Champions 2025,12:00 PM
https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a,542198,Xi Lai Gaming,Sentinels,2,1,Group Stage–Elimination (A)Valorant Champions 2025,12:30 PM
https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b,542202,MIBR,FNATIC,1,2,Group Stage–Winner's (B)Valorant Champions 2025,11:25 AM
https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c,542208,DRX,NRG,1,2,Group Stage–Winner's (C)Valorant Champions 2025,12:10 PM
https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b,542201,Rex Regum Qeon,FNATIC,0,2,Group Stage–Opening (B)Valorant Champions 2025,11:10 AM
https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d,542211,G2 Esports,Team Heretics,0,2,Group Stage–Opening (D)Valorant Champions 2025,12:20 PM
https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c,542205,Team Liquid,DRX,0,2,Group Stage–Opening (C)Valorant Champions 2025,11:55 AM
https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a,542196,GIANTX,Sentinels,2,1,Group Stage–Opening (A)Valorant Champions 2025,11:25 AM
https://www.vlr.gg/534750/stellae-gaming-gc-vs-n-o-estamos-aqui-game-changers-2025-brazil-finals-lr1,534750,Stellae Gaming GC,Não estamos aqui,2,0,Main Event–Lower Round 1Game Changers 2025: Brazil Finals,6:15 PM
https://www.vlr.gg/534744/2game-esports-gc-vs-n-o-estamos-aqui-game-changers-2025-brazil-finals-ubqf,534744,2Game Esports GC,Não estamos aqui,2,0,Main Event–Upper QuarterfinalsGame Changers 2025: Brazil Finals,5:50 PM
https://www.vlr.gg/538772/empire-3-vs-tenax-gc-game-changers-2025-north-america-stage-2-r6-3-2-vs-2-3,538772,EMPIRE :3,Tenax GC,2,0,Swiss Stage–Round 6 (3-2 vs. 2-3)Game Changers 2025: North America Stage 2,8:30 PM
https://www.vlr.gg/543782/red-canids-vs-team-solid-challengers-2025-brazil-gamers-club-last-chance-qualifier-gf,543782,RED Canids,Team Solid,0,3,Main Event–Grand FinalChallengers 2025: Brazil Gamers Club Last Chance Qualifier,4:00 PM
https://www.vlr.gg/543173/shopify-rebellion-gold-vs-prosperity-esports-challengers-2025-north-america-ace-stage-3-r3,543173,Shopify Rebellion Gold,Prosperity Esports,1,2,Promotion/Relegation–Round 3Challengers 2025: North America ACE Stage 3,7:10 PM
https://www.vlr.gg/521249/naos-vs-full-sense-challengers-2025-southeast-asia-split-3-lbf,521249,NAOS,FULL SENSE,1,3,Playoffs–Lower FinalChallengers 2025: Southeast Asia Split 3,7:00 AM
https://www.vlr.gg/531688/team-solid-vs-red-canids-challengers-2025-brazil-gamers-club-last-chance-qualifier-ubf,531688,Team Solid,RED Canids,1,2,Main Event–Upper FinalChallengers 2025: Brazil Gamers Club Last Chance Qualifier,7:00 PM
https://www.vlr.gg/543169/sad-esports-vs-shopify-rebellion-gold-challengers-2025-north-america-ace-stage-3-r1,543169,SaD Esports,Shopify Rebellion Gold,2,1,Promotion/Relegation–Round 1Challengers 2025: North America ACE Stage 3,7:10 PM
https://www.vlr.gg/532795/envy-vs-tsm-challengers-2025-north-america-ace-stage-3-gf,532795,ENVY,TSM,1,3,Playoffs–Grand FinalChallengers 2025: North America ACE Stage 3,4:00 PM
https://www.vlr.gg/524956/fusion-x-vs-contra-gc-game-changers-2025-latam-main-event-lr1,524956,FUSION X,Contra GC,1,2,North–Lower Round 1Game Changers 2025: LATAM Main Event,9:30 PM
https://www.vlr.gg/524946/zen-esports-gc-vs-university-war-gc-game-changers-2025-latam-main-event-lr1,524946,Zen eSports GC,University War GC,2,0,South–Lower Round 1Game Changers 2025: LATAM Main Event,6:40 PM
https://www.vlr.gg/530913/g2-esports-vs-nrg-vct-2025-americas-stage-2-gf,530913,G2 Esports,NRG,3,0,Playoffs–Grand FinalVCT 2025: Americas Stage 2,5:00 PM
https://www.vlr.gg/530365/paper-rex-vs-rex-regum-qeon-vct-2025-pacific-stage-2-gf,530365,Paper Rex,Rex Regum Qeon,3,1,Playoffs–Grand FinalVCT 2025: Pacific Stage 2,1:50 AM
https://www.vlr.gg/530912/sentinels-vs-nrg-vct-2025-americas-stage-2-lbf,530912,Sentinels,NRG,1,3,Playoffs–Lower FinalVCT 2025: Americas Stage 2,6:00 PM
https://www.vlr.gg/530911/nrg-vs-cloud9-vct-2025-americas-stage-2-lr3,530911,NRG,Cloud9,2,1,Playoffs–Lower Round 3VCT 2025: Americas Stage 2,7:30 PM
https://www.vlr.gg/532798/winthrop-university-vs-tsm-challengers-2025-north-america-ace-stage-3-lr2,532798,Winthrop University,TSM,0,2,Playoffs–Lower Round 2Challengers 2025: North America ACE Stage 3,7:30 PM
https://www.vlr.gg/538877/fuego-vs-ktana-esports-challengers-2025-latam-ace-promotion-relegation-winners,538877,FUEGO,KTANA Esports,3,1,North–Winner'sChallengers 2025: LATAM ACE Promotion/Relegation,8:00 PM
https://www.vlr.gg/524952/myvra-gc-vs-contra-gc-game-changers-2025-latam-main-event-ubsf,524952,MYVRA GC,Contra GC,2,0,North–Upper SemifinalsGame Changers 2025: LATAM Main Event,10:00 PM
https://www.vlr.gg/524940/university-war-gc-vs-kr-blaze-game-changers-2025-latam-main-event-ubsf,524940,University War GC,KRÜ BLAZE,0,2,South–Upper SemifinalsGame Changers 2025: LATAM Main Event,6:00 PM
https://www.vlr.gg/530909/cloud9-vs-100-thieves-vct-2025-americas-stage-2-lr2,530909,Cloud9,100 Thieves,2,0,Playoffs–Lower Round 2VCT 2025: Americas Stage 2,6:50 PM
